AppliesTo,ProvisioningStatus,FriendlyName,ServicePlanId,ServicePlanName,isEnabled,isAssignable
User,Success,Information Barriers,c4801e8a-cb58-4c35-aca6-f2dcc106f287,INFORMATION_BARRIERS,FALSE,TRUE
User,Success,Microsoft Bookings,199a5c09-e0ca-4e37-8f7c-b05d533e1ea2,MICROSOFTBOOKINGS,FALSE,TRUE
User,Success,Universal Print Without Seeding,b67adbaf-a096-42c9-967e-5a84edbe0086,UNIVERSAL_PRINT_NO_SEEDING,FALSE,TRUE
Company,Success,,d9fa6af4-e046-4c89-9226-729a0786685d,Content_Explorer,TRUE,FALSE
User,Success,Project for Office (Plan E5),b21a6b06-1988-436e-a07b-51ec6d9f52ad,PROJECT_O365_P3,TRUE,TRUE
User,Success,Microsoft 365 Defender,bf28f719-7844-4079-9c78-c1307898e192,MTP,FALSE,TRUE
User,Success,Common Data Service,28b0fa46-c39a-4188-89e2-58e979a6b014,DYN365_CDS_O365_P3,TRUE,TRUE
User,Success,Office 365 SafeDocs,bf6f5520-59e3-4f82-974b-7dbbc4fd27c7,SAFEDOCS,FALSE,TRUE
User,Success,Information Protection for Office 365 - Standard,5136a095-5cf0-4aff-bec3-e84448b38ea5,MIP_S_CLP1,FALSE,TRUE
User,Success,Education Analytics,a9b86446-fa4e-498f-a92a-41b447e03337,EducationAnalyticsP1,FALSE,TRUE
User,Success,Microsoft Kaizala Pro,0898bdbb-73b0-471a-81e5-20f1fe4dd66e,KAIZALA_STANDALONE,TRUE,TRUE
Company,Success,,94065c59-bc8e-4e8b-89e5-5138d471eaff,MICROSOFT_SEARCH,TRUE,FALSE
User,Success,Microsoft Defender for Office 365 (Plan 2),8e0c0a52-6a6c-4d40-8370-dd62790dcd70,THREAT_INTELLIGENCE,FALSE,TRUE
User,Success,Microsoft Cloud App Security,2e2ddb96-6af9-4b1d-a3f0-d6ecfd22edb2,ADALLOM_S_STANDALONE,FALSE,TRUE
User,Success,Whiteboard (Plan 3),4a51bca5-1eff-43f5-878c-177680f191af,WHITEBOARD_PLAN3,TRUE,TRUE
User,Success,Microsoft Defender for Identity,14ab5db5-e6c4-4b20-b4bc-13e36fd2227f,ATA,FALSE,TRUE
User,Success,Intune for Education,da24caf9-af8e-485c-b7c8-e73336da2693,INTUNE_EDU,FALSE,TRUE
User,Success,Cloud App Security Discovery,932ad362-64a8-4783-9106-97849a1a30b9,ADALLOM_S_DISCOVERY,FALSE,TRUE
User,Success,To-Do (Plan 2) / To-Do (Plan 3),c87f142c-d1e9-4363-8630-aaea9c4d9ae5,BPOS_S_TODO_2,TRUE,TRUE
User,Success,Windows 10 Enterprise,e7c91390-7625-45be-94e0-e16907e03118,Virtualization Rights for Windows 10 (E3/E5+VDA),TRUE,TRUE
User,Success,Minecraft Education Edition,4c246bbc-f513-4311-beff-eba54c353256,MINECRAFT_EDUCATION_EDITION,FALSE,TRUE
User,Success,Microsoft Intune,c1ec4a95-1f05-45b3-a911-aa3fa01094f5,INTUNE_A,TRUE,TRUE
User,Success,Microsoft Azure Multi-Factor Authentication,8a256a2b-b617-496d-b51b-e76466e88db0,MFA_PREMIUM,TRUE,TRUE
User,Success,Azure Active Directory Premium P1,41781fb2-bc02-4b7c-bd55-b576c07bb09d,AAD_PREMIUM,TRUE,TRUE
User,Success,Azure Active Directory Premium P2,eec0eb4f-6444-4f95-aba0-50c24d67f998,AAD_PREMIUM_P2,TRUE,TRUE
User,Success,Microsoft Stream for O365 E3 SKU / Microsoft Stream for O365 E5 SKU,9e700747-8b1d-45e5-ab8d-ef187ceec156,STREAM_O365_E3,TRUE,TRUE
User,Success,Power Apps for Office 365 Plan 3,c68f8d98-5534-41c8-bf36-22fa496fa792,POWERAPPS_O365_P2,TRUE,TRUE
User,Success,Power Automate for Office 365,76846ad7-7776-4c40-a281-a386362dd1b9,FLOW_O365_P2,TRUE,TRUE
User,Success,Microsoft Forms (Plan 2) / Microsoft Forms (Plan 3),9b5de886-f035-4ff2-b3d8-c9127bea3620,OFFICE_FORMS_PLAN_2,TRUE,TRUE
Company,Success,,f20fedf3-f3c3-43c3-8267-2bfdd51c0939,ATP_ENTERPRISE,TRUE,FALSE
User,Success,Azure Active Directory Basic for EDU,1d0f309f-fdf9-4b2a-9ae7-9c48b91f1426,AAD_BASIC_EDU,FALSE,TRUE
User,Success,School Data Sync (Plan 2),500b6a2a-7a50-4f40-b5f9-160e5b8c2f48,SCHOOL_DATA_SYNC_P2,FALSE,TRUE
Company,Success,,882e1d05-acd1-4ccb-8708-6ee03664b117,INTUNE_O365,TRUE,FALSE
User,Success,Azure Rights Management,bea4c11e-220a-4e6d-8eb8-8ea15d019f90,RMS_S_ENTERPRISE,TRUE,TRUE
User,Success,Microsoft Teams,57ff2da0-773e-42df-b2af-ffb7a2317929,TEAMS1,TRUE,TRUE
User,Success,Sway,a23b959c-7ce8-4e57-9140-b90eb88a9e97,SWAY,TRUE,TRUE
User,Success,Microsoft StaffHub,8c7d2df8-86f0-4902-b2ed-a0458298f3b3,Deskless,TRUE,TRUE
User,Success,Microsoft Planner,b737dad2-2f6c-4c65-90e3-ca563267e8b9,PROJECTWORKMANAGEMENT,TRUE,TRUE
User,Success,Yammer for Academic,2078e8df-cff6-4290-98cb-5408261a760a,YAMMER_EDU,FALSE,TRUE
User,Success,Skype for Business Online (Plan 2),0feaeb32-d00e-4d66-bd5a-43b5b83db82c,MCOSTANDARD,TRUE,TRUE
User,Success,Office for the web (Education),e03c7e47-402c-463c-ab25-949079bedb21,SHAREPOINTWAC_EDU,TRUE,TRUE
User,Success,SharePoint Plan 2 for EDU,63038b2c-28d0-45f6-bc36-33062963b498,SHAREPOINTENTERPRISE_EDU,TRUE,TRUE
User,Success,Exchange Online (Plan 2),efb87545-963c-4e0d-99df-69c6916d9eb0,EXCHANGE_S_ENTERPRISE,TRUE,TRUE
User,Success,Office 365 Cloud App Security,8c098270-9dd4-4350-9b30-ba4703f3b36b,ADALLOM_S_O365,FALSE,TRUE
User,Success,Microsoft 365 Apps for enterprise,43de0ff5-c92c-492b-9116-175376d08c38,OFFICESUBSCRIPTION,TRUE,TRUE